s.age.t4,s.gen.t4,s.inc.t4,ad.1.t4,ad.2.t4,ad.3.t4,ad.4.t4,ad.5.t4,ad.6.t4,ad.7.t4,ad.8.t4
40,1,3,2,2,2,1,2,1,2,2
40,1,3,2,1,1,1,1,1,1,1
23,1,4,1,1,1,1,1,1,2,3
58,2,4,1,1,1,1,1,2,3,3
39,1,4,3,2,2,2,2,2,2,2
47,2,4,2,2,1,1,2,1,1,1
23,2,4,2,2,2,2,2,3,2,4
27,1,5,2,3,2,2,2,2,2,2
56,1,5,3,2,1,3,2,1,1,3
55,1,2,2,2,1,1,1,1,1,1
34,1,3,2,2,2,1,1,1,1,2
40,2,1,3,1,1,1,1,1,1,1
45,2,4,3,2,3,2,2,3,1,1
59,1,5,2,2,1,1,2,1,2,2
24,2,5,1,1,1,1,1,1,1,1
48,1,4,1,1,1,1,1,1,1,1
50,1,4,2,3,2,1,1,1,2,3
58,2,1,3,2,2,2,4,2,3,4
23,2,2,1,1,1,1,1,1,1,1
50,2,4,2,2,2,2,2,1,1,2
52,1,4,2,2,3,2,2,1,2,1
41,1,5,3,3,3,2,3,2,3,2
49,1,4,2,2,2,1,2,1,2,2
48,2,3,4,4,4,4,4,1,1,4
26,1,3,3,2,4,4,4,4,4,3
57,1,4,1,2,1,1,1,1,1,2
51,2,4,2,2,2,2,2,1,1,2
 , , , , , , , , , , 
31,1,4,1,1,1,1,1,1,1,1
28,2,2,1,1,1,1,1,1,1,1
36,2,3,1,1,1,1,1,1,1,1
 , , , , , , , , , , 
41,2,3,2,2,2,2,3,1,1,1
34,1,3,1,1,1,1,1,1,1,1
26,1,4,2,2,3,2,3,3,3,3
46,1,3,2,2,1,1,2,1,1,2
27,2,4,1,1,1,1,1,1,1,2
24,2,2,1,1,2,1,1,1,1,1
60,2,3,4,3,3,4,3,3,4,3
50,1,4,2,2,2,2,1,3,2,2
46,1,3,2,1,1,1,1,1,1,2
46,2,4,2,1,2,2,1,1,1,2
45,1,4,2,2,1,1,3,2,2,2
51,1,4,4,4,4,4,3,3,3,3
45,1,4,1,1,1,1,1,1,1,1
30,2,4,2,2,1,1,1,1,2,2
50,1,5,1,2,1,1,1,1,2,2
41,1,4,2,2,2,2,2,1,2,2
52,1,4,2,2,2,2,2,2,3,3
49,2,3,3,2,3,2,2,2,1,3
56,2,3,3,2,3,2,2,2,2,2
33,2,4,1,1,1,1,1,2,2,1
22,2,5,1,1,2,1,1,1,1,1
56,1,3,2,2,1,1,1,1,1,2
25,2,3,2,2,2,2,2,2,2,3
34,2,4,1,1,2,1,1,1,4,4
56,2,4,1,1,1,1,1,1,1,1
35,2,4,2,2,2,2,2,3,2,3
36,1,1,3,3,2,3,4,4,3,2
24,2,5,1,2,3,2,1,1,1,2
44,2,3,1,1,1,1,1,1,1,2
60,2,5,2,1,1,1,1,1,1,1
59,1,4,1,1,1,1,1,1,1,1
30,2,4,2,2,1,1,2,1,1,2
23,2,1,2,2,2,2,2,1,1,2
20,2,3,3,2,3,3,3,2,3,3
34,1,4,2,3,1,1,2,1,1,2
18,2,5,2,2,4,2,2,1,3,3
27,2,5,2,2,2,2,3,2,1,2
38,1,5,1,1,1,1,1,1,1,1
28,2,4,2,1,1,1,1,1,1,1
47,2,5,2,3,1,1,2,1,1,3
29,2,4,2,2,2,2,1,3,1,3
37,2,4,3,3,3,3,3,2,2,3
22,2,3,1,1,1,1,1,1,1,1
40,2,3,2,2,1,1,2,1,1,1
28,2,4,3,3,3,3,3,2,1,2
20,1,2,1,1,1,1,1,1,1,2
23,1,5,1,1,1,1,1,1,1,1
27,2,3,1,1,2,1,1,2,2,1
43,1,2,1,1,1,1,1,1,1,1
59,1,3,2,2,2,1,1,1,1,3
48,1,5,1,1,1,1,1,1,1,1
49,2,5,2,2,1,1,2,1,1,2
40,2,3,2,2,1,1,1,1,1,1
55,1,3,2,2,2,1,2,2,1,1
25,2,4, , , , , , , , 
36,1,2,1,1,1,1,1,1,1,1
40,2,5,1,1,1,1,3,2,1,1
46,2,3,2,1,2,1,1,1,1,2
63,1,1,2,2,1,1,1,1,2,2
